Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
blue	5991145	NGF signalling via TRKA from the plasma membrane	15/155	180/7109	7.74559430058117e-06	0.000599241506931824	0.000487110346997898	Pde1c/Kit/Dusp6/Egfr/Adcy3/Adcy8/Dnal4/Pde1b/Nr4a1/Cdkn1a/Hbegf/Ngf/Adcyap1r1/Fgf16/Foxo3	15
blue	5991159	Signaling by FGFR1	13/155	142/7109	1.16988580528989e-05	0.000599241506931824	0.000487110346997898	Pde1c/Kit/Egfr/Adcy3/Spry2/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Mknk1/Fgf16/Foxo3	13
blue	5991160	Signaling by FGFR	13/155	142/7109	1.16988580528989e-05	0.000599241506931824	0.000487110346997898	Pde1c/Kit/Egfr/Adcy3/Spry2/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Mknk1/Fgf16/Foxo3	13
blue	5991163	Signaling by FGFR2	13/155	142/7109	1.16988580528989e-05	0.000599241506931824	0.000487110346997898	Pde1c/Kit/Egfr/Adcy3/Spry2/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Mknk1/Fgf16/Foxo3	13
blue	5991166	Signaling by FGFR3	13/155	142/7109	1.16988580528989e-05	0.000599241506931824	0.000487110346997898	Pde1c/Kit/Egfr/Adcy3/Spry2/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Mknk1/Fgf16/Foxo3	13
blue	5991169	Signaling by FGFR4	13/155	142/7109	1.16988580528989e-05	0.000599241506931824	0.000487110346997898	Pde1c/Kit/Egfr/Adcy3/Spry2/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Mknk1/Fgf16/Foxo3	13
blue	5991052	Transmission across Chemical Synapses	14/155	190/7109	6.24988732566147e-05	0.00288119805712994	0.00234206303993209	Gria1/Adcy3/Grin2c/Adcy8/Gad2/Kcnj3/Slc6a1/Rasgrf1/Cplx1/Grip1/Slc32a1/Actn2/Abat/Gad1	14
blue	5991919	Nitric oxide stimulates guanylate cyclase	5/155	23/7109	0.000113138129596493	0.00355901538364438	0.00289304595633611	Pde1b/Prkg2/Gucy1a3/Pde5a/Kcnma1	5
blue	5991158	Downstream signaling of activated FGFR1	11/155	130/7109	0.000115803103589296	0.00355901538364438	0.00289304595633611	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	11
blue	5991162	Downstream signaling of activated FGFR2	11/155	130/7109	0.000115803103589296	0.00355901538364438	0.00289304595633611	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	11
blue	5991165	Downstream signaling of activated FGFR3	11/155	130/7109	0.000115803103589296	0.00355901538364438	0.00289304595633611	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	11
blue	5991168	Downstream signaling of activated FGFR4	11/155	130/7109	0.000115803103589296	0.00355901538364438	0.00289304595633611	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	11
blue	5991374	Activation of NMDA receptor upon glutamate binding and postsynaptic events	6/155	38/7109	0.000151169648865831	0.00435557550794675	0.00354055230238393	Gria1/Adcy3/Grin2c/Adcy8/Rasgrf1/Actn2	6
blue	5991150	Signaling by EGFR	12/155	159/7109	0.000169682794341879	0.00460139812891801	0.00374037614772191	Pde1c/Kit/Egfr/Adcy3/Spry2/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	12
blue	5991154	DAP12 interactions	12/155	160/7109	0.000180033740779117	0.00461086413884294	0.00374807086066466	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Sirpa/Foxo3	12
blue	5991147	Downstream signal transduction	11/155	142/7109	0.000253771149103955	0.00615728945983806	0.00500512626487578	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	11
blue	5991152	Signaling by ERBB2	11/155	143/7109	0.000269827985541121	0.00621953506672284	0.00505572436066522	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	11
blue	5991148	Signaling by PDGF	12/155	168/7109	0.000284088213660685	0.00623641269036075	0.00506944381269192	Col6a1/Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	12
blue	5991055	Neurotransmitter Release Cycle	6/155	44/7109	0.000347044436604599	0.00727215842157818	0.00591137892015489	Gad2/Slc6a1/Cplx1/Slc32a1/Abat/Gad1	6
blue	5991153	DAP12 signaling	11/155	148/7109	0.000363597973955612	0.00728776808667553	0.00592406767634773	Pde1c/Kit/Egfr/Adcy3/Adcy8/Pde1b/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	11
blue	5991950	cGMP effects	4/155	17/7109	0.000414611151063366	0.00796398919334215	0.00647375306046308	Pde1b/Prkg2/Pde5a/Kcnma1	4
blue	5991708	PI3K/AKT activation	8/155	90/7109	0.000727258965493799	0.0126950796165485	0.0103195532446427	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Ngf/Fgf16/Foxo3	8
blue	5991144	PLC-gamma1 signalling	5/155	34/7109	0.000771067742436785	0.0126950796165485	0.0103195532446427	Pde1c/Adcy3/Adcy8/Pde1b/Ngf	5
blue	5991149	EGFR interacts with phospholipase C-gamma	5/155	34/7109	0.000771067742436785	0.0126950796165485	0.0103195532446427	Pde1c/Egfr/Adcy3/Adcy8/Pde1b	5
blue	5991373	Post NMDA receptor activation events	5/155	34/7109	0.000771067742436785	0.0126950796165485	0.0103195532446427	Adcy3/Grin2c/Adcy8/Rasgrf1/Actn2	5
blue	5991151	PLCG1 events in ERBB2 signaling	5/155	35/7109	0.00088394408046761	0.0140516627963989	0.0114222901142094	Pde1c/Egfr/Adcy3/Adcy8/Pde1b	5
blue	5991515	G alpha (s) signalling events	8/155	98/7109	0.00127498078187053	0.0195922046814105	0.0159260757314354	Crhr1/Adcy3/Adcy8/Pde1b/Htr7/Pde4b/Adcyap1r1/Pde4a	8
blue	5992127	Potassium Channels	8/155	103/7109	0.00175779161612579	0.0261400624204512	0.0212486864292285	Kcnab3/Hcn1/Kcnj3/Kcnc2/Kcnk3/Kcnh7/Kcnc3/Kcnma1	8
blue	5991141	Opioid Signalling	6/155	62/7109	0.00219009984560517	0.027561952853075	0.0224045101397299	Pde1c/Adcy3/Adcy8/Pde1b/Pde4b/Pde4a	6
blue	5991164	Phospholipase C-mediated cascade; FGFR3	5/155	44/7109	0.00252637326143542	0.027561952853075	0.0224045101397299	Pde1c/Adcy3/Adcy8/Pde1b/Fgf16	5
blue	5991797	PRC2 methylates histones and DNA	5/155	44/7109	0.00252637326143542	0.027561952853075	0.0224045101397299	Gm10257/H3f3c/Gm12657/LOC102642045/Jarid2	5
blue	5991137	CaM pathway	4/155	27/7109	0.00258044992577514	0.027561952853075	0.0224045101397299	Pde1c/Adcy3/Adcy8/Pde1b	4
blue	5991370	Calmodulin induced events	4/155	27/7109	0.00258044992577514	0.027561952853075	0.0224045101397299	Pde1c/Adcy3/Adcy8/Pde1b	4
blue	5991620	PI-3K cascade:FGFR1	7/155	86/7109	0.00260077888892287	0.027561952853075	0.0224045101397299	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991621	PI-3K cascade:FGFR2	7/155	86/7109	0.00260077888892287	0.027561952853075	0.0224045101397299	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991622	PI-3K cascade:FGFR3	7/155	86/7109	0.00260077888892287	0.027561952853075	0.0224045101397299	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991623	PI-3K cascade:FGFR4	7/155	86/7109	0.00260077888892287	0.027561952853075	0.0224045101397299	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991712	PIP3 activates AKT signaling	7/155	86/7109	0.00260077888892287	0.027561952853075	0.0224045101397299	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991714	PI3K events in ERBB4 signaling	7/155	86/7109	0.00260077888892287	0.027561952853075	0.0224045101397299	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991715	PI3K events in ERBB2 signaling	7/155	86/7109	0.00260077888892287	0.027561952853075	0.0224045101397299	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991176	Fc epsilon receptor (FCERI) signaling	10/155	161/7109	0.00263064192090087	0.027561952853075	0.0224045101397299	Kit/Egfr/Fos/Map3k1/Nr4a1/Cdkn1a/Hbegf/Fgf16/Nfatc1/Foxo3	10
blue	5991167	Phospholipase C-mediated cascade; FGFR4	5/155	46/7109	0.00307943666019913	0.0315471177855955	0.0256439637668045	Pde1c/Adcy3/Adcy8/Pde1b/Fgf16	5
blue	5991619	GAB1 signalosome	7/155	90/7109	0.00336411163939474	0.0325243614274903	0.0264383438022298	Kit/Egfr/Nr4a1/Cdkn1a/Hbegf/Fgf16/Foxo3	7
blue	5991138	Ca-dependent events	4/155	29/7109	0.00337622181883114	0.0325243614274903	0.0264383438022298	Pde1c/Adcy3/Adcy8/Pde1b	4
