Area	Mean	Min	Max	IntDen	RawIntDen	adjusted.mean	mouse	slide	section	striatum	blank
16632	110.585	4	158	1839249	1839249	95.891	xim.935	3	1	1	no
16632	14.536	7	33	241770	241770	0	xim.935	3	1	2	yes
16632	84.963	1	130	1413110	1413110	70.427	xim.935	3	1	2	no
16632	104.102	2	150	1731418	1731418	89.566	xim.935	3	1	2	no
16632	111.843	1	165	1860168	1860168	97.307	xim.935	3	1	2	no
16632	114.692	2	176	1907564	1907564	100.156	xim.935	3	1	2	no
16632	122.85	2	168	2043236	2043236	108.314	xim.935	3	1	2	no
30132	14.583	6	90	439407	439407	0	xim.935	3	1	1	yes
30132	65.259	1	121	1966383	1966383	50.676	xim.935	3	1	1	no
30132	74.897	1	133	2256792	2256792	60.314	xim.935	3	1	1	no
30132	85.454	0	143	2574895	2574895	70.871	xim.935	3	1	1	no
30132	99.893	1	151	3009965	3009965	85.31	xim.935	3	1	1	no
30132	108.026	1	159	3255051	3255051	93.443	xim.935	3	1	1	no
30888	14.358	6	89	443494	443494	0	xim.935	3	1	2	yes
30888	76.697	1	131	2369014	2369014	62.339	xim.935	3	1	2	no
30888	99.637	6	144	3077602	3077602	85.279	xim.935	3	1	2	no
30888	100.625	4	160	3108119	3108119	86.267	xim.935	3	1	2	no
30888	102.644	2	154	3170465	3170465	88.286	xim.935	3	1	2	no
30888	110.469	1	167	3412163	3412163	96.111	xim.935	3	1	2	no
